name,year
"Heckerman, David",2011
"Song, Dawn",2019
"Key, Peter B.",2011
"Xing, Eric",2022
"Prasanna, Viktor",2007
"Moore, J Strother",2006
"Ceze, Luis H",2022
"Adve, Vikram",2014
"LI, Xuelong",2020
"Vemuri, Baba C",2009
"Mount, David M",2022
"Simons, Barbara B",1994
"Felten, Edward",2007
"Gerla, Mario",2018
"Picard, Rosalind Wright",2021
"Jha, Somesh",2016
"Huttenlocher, Daniel",2007
"Navarro, Gonzalo",2022
"Ren, Kui",2020
"Glass, Robert L",1999
"Zhang, Lixia",2006
"Lowney, Paul G",2008
"Rastogi, Rajeev  Ramnarain",2012
"Bruckman, Amy S",2018
"Sivasubramaniam, Anand",2017
"Wu, Cathy H",2020
"Li, Hai",2021
"Kemmerer, Richard A.",1997
"Nebel, Bernhard",2021
"Fox, Dieter",2020
"Franklin, Michael J",2005
"Riedl, John T",2009
"Winograd, Shmuel",1994
"Ellen, Faith",2014
"Jouppi, Norman",2006
"Wah, Benjamin W.",2004
"Tamassia, Roberto",2012
"Dechter, Rina",2013
"Sandholm, Tuomas",2008
"Lee, Wenke",2017
"Forsyth, David",2013
"Rung-Tsong Lyu, Michael",2015
"Haas, Peter",2013
"Nagpal, Radhika",2020
"Milner, A J",1994
"Haderle, Donald J",2000
"Leveson, Nancy",1995
"Batcher, Kenneth E",1994
"Banerjee, Suman",2020
"Sethi, Ravi",1996
"Cole, Richard J",1998
"Wasserman, Anthony I",1996
"Churchill, Elizabeth Frances",2019
"Lee, Peter",2004
"Devanbu, Premkumar T",2018
"Abdelzaher, Tarek",2019
"Liu, Bing",2015
"Zave, Pamela",2001
"Fox, Geoffrey",2011
"Dodd, George",1996
"Rinard, Martin",2009
"McKeown, Nick",2006
"Marculescu, Radu",2022
"Karger, David",2009
"Czerwinski, Mary P.",2015
"Hajiaghayi, Mohammad T.",2018
"Cartwright, Robert S",1998
"McCracken, Daniel D",1994
"Ramakrishnan, K. K.",2017
"Birman, Ken",1999
"Lehman, Meir",1994
"Franz, Michael",2015
"Chan, Timothy",2019
"Zhang, Xiaodong",2012
"Zhang, Zhengyou",2013
"Tehranipoor, Mark",2021
"Lee, John A",1994
"Stasko, John",2022
"Masinter, Larry M",1999
"Bernstein, Philip A",2001
"Birkedal, Lars",2017
"York, Bryant W",2006
"Kossmann, Donald",2010
"Weingarten, Fred W",1996
"Suzuki, Norihisa",1995
"Arpaci-Dusseau, Andrea",2020
"Menasce, Daniel A.",1997
"Irwin, Mary Jane",1996
"Sagiv, Shmuel",2015
"Luby, Michael George",2015
"Madden, Samuel",2020
"Zaki, Mohammed",2021
"Heinzelman, Wendi Beth",2018
"Ramamoorthi, Ravi",2017
"Hu, Xiaobo Sharon",2021
"Hoos, Holger H.",2020
"Horning, James Jay",1998
"John, Lizy Kurian",2020
"Leighton, Tom",2018
"Kraut, Robert",2011
"Guibas, Leonidas",1999
"Herlihy, Maurice",2005
"Saks, Michael E",2016
"Yannakakis, Mihalis",1998
"Carroll, John",2003
"Shavit, Nir N",2013
"McJones, Paul R",1994
"Malik, Sharad",2014
"Lamsweerde, Axel Van",2000
"Thekkath, Chandramohan A",2009
"Calvanese, Diego",2019
"Chang, Edward Y",2021
"Landau, Susan",2011
"Agarwal, Pankaj",2002
"Wang, Wenping",2021
"Zabih, Ramin",2012
"Guzman, Adolfo",2002
"Comaniciu, Dorin",2017
"Koushanfar, Farinaz",2022
"Hendler, James",2016
"Dwarkadas, Sandhya",2018
"Alt, Franz L",1994
"Marzullo, Keith",2011
"Squillante, Mark S",2008
"Heath, Michael",2000
"Wellman, Michael",2005
"Tambe, Milind",2013
"Jain, Raj",1996
"Kumar, Ravi",2020
"Tullsen, Dean",2011
"Hicks, Michael W",2022
"Landay, James",2016
"Deb, Kalyanmoy",2022
"Fujimoto, Richard M",2017
"Boisvert, Ronald F",2019
"Kellogg, Wendy A",2002
"Zheng, Haitao",2022
"Lynch, Nancy",1997
"Van Dam, Andries",1994
"Roth, Dan",2011
"Frincke, Deborah",2019
"Engel, Gerald L",1994
"Breitbart, Yuri",2001
"Hudak, Paul",2003
"Hughes, John",2018
"Bajcsy, Ruzena",1996
"Ware, Willis H",1994
"Baeza-Yates, Ricardo A",2009
"Bokhari, Shahid H",2000
"D'Auria, Thomas A",1994
"Stroustrup, Bjarne",1994
"Calder, Bradley G",2019
"Friedman, Frank",1994
"Fischer, Gerhard",2009
"Ouaknine, Joel",2021
"DeKleer, Johan",2001
"Zhou, Zhi-Hua",2016
"Martonosi, Margaret",2009
"Harchol-Balter, Mor",2017
"Reuter, Andreas",2019
"Fayyad, Usama M",2006
"Olsen, Dan R",2006
"Bader, David A",2021
"Minker, Jack",1994
"Rose, Jonathan",2008
"Markl, Volker",2020
"Chen, Yiran",2020
"Donald, Bruce R.",2009
"Goodman, James",2010
"Gupta, Rajiv",2009
"Navathe, Shamkant",2014
"Schnabel, Robert B",2010
"Seshia, Sanjit Arunkumar",2020
"Sahni, Sartaj K",1996
"Mahlke, Scott",2020
"Selman, Bart",2012
"Auslander, Marc",1999
"Bellare, Mihir",2013
"Tang, Jie",2021
"Vianu, Victor",2006
"Yu, Yizhou",2022
"Rodden, Tom",2014
"Hassan, Ahmed E.",2022
"DeWitt, David",1995
"Katabi, Dina",2013
"Wilkes, Maurice V.",1994
"Crovella, Mark",2010
"Ahuja, Narendra",1996
"Syverson, Paul",2014
"Davie, Bruce",2009
"Borriello, Gaetano",2009
"Parulkar, Gurudatta",2018
"Mehlhorn, Kurt",1999
"Sloan, Martha",1994
"McDaniel, Patrick",2015
"Gibbons, Phillip B",2006
"Tichy, Walter F.",2012
"Falsafi, Babak",2015
"Ghezzi, Carlo",1999
"Haritsa, Jayant R",2015
"Constantine, Larry",2007
"Hubaux, Jean-Pierre",2010
"Charikar, Moses",2020
"Arora, Sanjeev",2008
"Su, Zhendong",2022
"Arvind, Arvind",2006
"Liskov, Barbara",1996
"Preas, Bryan",1996
"Zegura, Ellen",2013
"Dumais, Susan T",2006
"Lin, Jimmy",2022
"Vahdat, Amin",2011
"Gupta, Anupam",2021
"Graham, Ronald L.",1999
"Levin, Roy",2008
"Choudhary, Alok",2009
"Condon, Anne",2010
"Bourne, Stephen",2005
"Wulf, William A",1994
"Yang, Qiang",2017
"Druin, Allison",2016
"Manjunath, Bangalore S",2018
"Cortes, Corinna",2022
"Eeckhout, Lieven",2021
"Miller, Gary L",2002
"Olson, Judith S",2008
"Stonebraker, Michael",1994
"Greenberg, Saul",2012
"Alvisi, Lorenzo",2010
"Zyda, Michael J",2020
"Clarkson, Kenneth",2008
"Mataric, Maja",2020
"Boggs, David R.",1994
"Teevan, Jaime",2022
"Rao, Satish",2013
"He, Tian",2018
"Frankston, Robert M",1994
"Vazirani, Vijay V",2005
"Barr, Alan H",1995
"Croft, Bruce",1997
"Partridge, Craig",2003
"Li, Kai",1998
"Brodley, Carla",2016
"Parkes, David",2018
"Edelman, Alan",2020
"Esbin, John H",1994
"Stone, Peter",2020
"Hoelzle, Urs",2009
"Amarasinghe, Saman",2019
"Koenig, Sven",2020
"Pancake, Cherri M",2001
"Belding, Elizabeth",2018
"Holzmann, Gerard J.",2011
"Lyon, Richard F",2010
"Hazan, Elad",2021
"Maisel, Herbert",1994
"Rexford, Jennifer",2008
"Morris, Robert",2014
"Hearst, Marti",2013
"Babaoglu, Ozalp",2002
"Han, Jiawei",2003
"Shmoys, David Bernard",2001
"Voorhees, Ellen M",2018
"Oliver, Nuria",2017
"Shor, Peter W",2019
"Gribble, Steven",2020
"Ives, Zachary",2021
"Kautz, Henry A",2013
"Fall, Kevin",2015
"Soffa, Mary Lou",1999
"Selinger, Patricia G.",2009
"Rada, Roy F",1995
"Sellis, Timoleon",2013
"Tannen, Val",2013
"Whitley, Darrell",2019
"Grudin, Jonathan",2012
"Sakallah, Karem",2012
"Demillo, Richard",2003
"Bhuyan, Laxminarayan Bhuyan",2000
"Cook, Rob",1999
"Zhai, Shumin",2010
"Haas, Zygmunt J.",2021
"Aho, Alfred V",1996
"Singhal, Amit",2011
"Chandrasekaran, B.",1996
"Johnson, David S",1995
"Dean, Thomas L",2009
"Kandel, Abraham",1998
"Gross, Markus",2012
"Gelenbe, Erol",2001
"Kosaraju, Sambasiva",1995
"Lakshmivarahan, S",1995
"Lavenberg, Stephen S",1994
"Williamson, David",2013
"Bacon, David F",2009
"Richards, John T",1998
"Khuller, Samir",2022
"Yovits, Marshall C",1996
"Kumar, Panganamala",2013
"Karp, Richard",1994
"Szeliski, Richard",2008
"Olson, Gary M",2007
"Nieh, Jason",2019
"Tassiulas, Leandros",2020
"Ackerman, Mark S",2013
"Floyd, Robert W.",1994
"Hellman, Martin",2020
"Ball, Thomas",2011
"Buxton, William A.S.",2008
"Kedem, Zvi",1997
"Borgman, Christine L",2013
"Gifford, David K",2011
"Sudan, Madhu",2008
"Winslett, Marianne",2006
"Kahng, Andrew",2012
"Lakshman, T V",2005
"Savage, Stefan",2010
"Salzberg, Steven",2020
"Rogers, Yvonne",2017
"Zuckerman, David",2013
"Miller, Dale A",2021
"Gao, Guang",2007
"Fiat, Amos",2021
"Wegbreit, Ben",1994
"Vigna, Giovanni",2019
"Lorie, Raymond A",2000
"Adve, Sarita",2010
"Rosenblum, David S.",2010
"Tao, Dacheng",2019
"Gabriel, Richard",1998
"Irani, Sandy",2022
"Nance, Richard E",1996
"Chaudhuri, Surajit",2005
"Reps, Thomas",2005
"Elliott, Chip",2013
"Ozsu, M. Tamer",2006
"Farach-Colton, Martin",2021
"Amato, Nancy M",2015
"Constable, Robert",1995
"Mudge, Trevor",2016
"Fan, Wenfei",2012
"Liu, C.L.",1994
"Stolfo, Salvatore J",2019
"Upfal, Eli",2005
"Srikant, Ramakrishnan",2014
"Nahrstedt, Klara",2012
"Zhang, HongJiang",2007
"Canny, John",2020
"Veloso, Manuela",2016
"Kannan, Ravi",2016
"Wolman, Alec",2018
"Knoblock, Craig",2017
"Kent, Stephen T",1998
"Morris, Meredith Ringel",2020
"Shamir, Ron",2012
"Abiteboul, Serge",2011
"Rajamani, Sriram",2015
"Mitchell, John C.",2008
"Felleisen, Matthias",2006
"Elbaum, Sebastian",2022
"Shaw, Alan C",1997
"Hoare, C. Antony R.",2020
"Cardie, Claire",2019
"Demmel, James",1999
"Larus, James",2006
"Yelick, Katherine",2012
"Rusinkiewicz, Szymon",2021
"Atchison, William F.",1994
"Sellen, Abigail",2016
"Lenzerini, Maurizio",2009
"Pierce, Benjamin",2012
"Yu, Dong",2022
"Klensin, John C",2007
"Lam, Monica",2007
"Patel, Janak H",2001
"DeBlasi, Joseph S",1999
"Beaudouin-Lafon, Michel",2022
"Feigenbaum, Joan",2001
"Marschner, Steve",2021
"Suri, Subhash",2010
"Narayanan, Vijaykrishnan",2014
"Bell, C Gordon",1994
"Boneh, Dan",2016
"Clark, David D",2001
"Brotz, Douglas K",1994
"Kozen, Dexter",2003
"Wobbrock, Jacob Otto",2021
"Wooldridge, Michael",2015
"Chandrakasan, Anantha",2020
"Weld, Daniel",2005
"Gal-Ezer, Judith",2021
"Benini, Luca",2016
"Klawe, Maria",1996
"Green, Cordell",1994
"Fuchs, Henry",1995
"Schneck, Paul",1997
"Cassell, Justine",2016
"Sevcik, Kenneth C",1997
"Naor, Moni",2020
"Dietterich, Thomas G",2002
"Stein, Clifford",2012
"Rus, Daniela",2014
"Thomas, Donald E",2007
"Chang, Naehyuck",2015
"Fischer, Michael J",1996
"Isbell, Charles Lee",2018
"Kiesler, Sara",2010
"Henzinger, Thomas A",2006
"Abramson, David A",2010
"Baer, Jean-Loup E",1997
"Patel, Jignesh M",2014
"Skadron, Kevin",2015
"Hoefler, Torsten",2022
"Kahan, William",1994
"Blum, Avrim",2007
"Tomasi, Carlo",2016
"Kleinberg, Jon",2013
"Mellor-Crummey, John",2013
"Mills, David L",1999
"Yan, Shuicheng",2020
"Finin, Tim",2018
"Druffel, Larry",1995
"Immerman, Neil",2002
"Young, Paul",1995
"Taylor, Robert W",1994
"Salton, Gerard",1995
"Stoica, Ion",2012
"Samuelson, Pamela",1999
"Braden, Robert T",1999
"Halevy, Alon Yitzchak",2006
"Moshovos, Andreas",2017
"Jones, Anita K",1996
"Das, Gautam",2021
"Agrawal, Vishwani D",2002
"Greif, Irene",1997
"Cai, Jin-Yi",2001
"Resnick, Paul",2020
"Kanade, Takeo",1999
"Finkelstein, Adam",2014
"Notkin, David S",1998
"Sengupta, Sudipta",2016
"Munro, Ian",2008
"Lee, Lillian",2018
"Manocha, Dinesh",2009
"Grossman, Robert L.",2016
"Ceri, Stefano",2013
"Tomkins, Andrew",2020
"Brooks, David",2020
"Rosenkrantz, Daniel J",1995
"Aaronson, Scott J",2019
"Trimberger, Stephen",2010
"Kim, Won",1995
"Voelker, Geoffrey",2017
"Hayes, John P",2001
"Newborn, Monroe",1994
"Brachman, Ronald J.",1999
"Rivest, Ronald L",1994
"Smith, Adam",2020
"Tucker, Allen",1994
"Cardelli, Luca",2004
"Chang, Yao-Wen",2020
"Luo, Jiebo",2018
"Goemans, Michel X",2008
"Paxson, Vern",2006
"Sanders, William",2003
"Joshi, Aravind K",1998
"Pach, Janos",2011
"Vishnoi, Nisheeth",2019
"Padmanabhan, Venkata",2016
"Leiserson, Charles E",2006
"Blackburn, Stephen",2016
"Maurer, Ueli M",2015
"Willinger, Walter",2005
"Krishnamurthy, Arvind",2020
"Bugnion, Edouard",2017
"Hager, Gregory",2017
"Grosch, Herbert R J",1995
